Name,Email,Number,City,status,qualification
Shrey,shreykantrajvanshi,8105215884,Bangalore,None,MBBS,
Shrey2,shrey@practo.com,9999999910,Bangalore,None,MBBS,MD,
Name:0,Email0@practo.com,0999999990,Bangalore,0,MBBS,
Name:1,Email1@practo.com,0999999991,Bangalore,0,ME,
Name:2,Email2@practo.com,0999999992,Bangalore,0,MBBS,
Name:3,Email3@practo.com,0999999993,Bangalore,0,MD,
Name:4,Email4@practo.com,0999999994,Bangalore,0,MBBS,MD,
Name:5,Email5@practo.com,0999999995,Bangalore,0,MD,
Name:6,Email6@practo.com,0999999996,Bangalore,0,MBBS,
Name:7,Email7@practo.com,0999999997,Bangalore,0,MD,
Name:8,Email8@practo.com,0999999998,Bangalore,0,MBBS,
Name:9,Email9@practo.com,0999999999,Bangalore,0,MD,
Name:10,Email10@practo.com,0999999910,Bangalore,0,MBBS,
Name:11,Email11@practo.com,0999999911,Bangalore,0,MD,
Name:12,Email12@practo.com,0999999912,Bangalore,0,MBBS,
Name:13,Email13@practo.com,0999999913,Bangalore,0,MD,
Name:14,Email14@practo.com,0999999914,Bangalore,0,MBBS,
Name:15,Email15@practo.com,0999999915,Bangalore,0,MD,
Name:16,Email16@practo.com,0999999916,Bangalore,0,MBBS,
Name:17,Email17@practo.com,0999999917,Bangalore,0,MD,
Name:18,Email18@practo.com,0999999918,Bangalore,0,MBBS,
Name:19,Email19@practo.com,0999999919,Bangalore,0,MD,
Name:20,Email20@practo.com,0999999920,Bangalore,0,MBBS,
Name:21,Email21@practo.com,0999999921,Bangalore,0,MD,
Name:22,Email22@practo.com,0999999922,Bangalore,0,MBBS,
Name:23,Email23@practo.com,0999999923,Bangalore,0,MD,
Name:24,Email24@practo.com,0999999924,Bangalore,0,MBBS,
Name:25,Email25@practo.com,0999999925,Bangalore,0,MD,
Name:26,Email26@practo.com,0999999926,Bangalore,0,MBBS,
Name:27,Email27@practo.com,0999999927,Bangalore,0,MD,
Name:28,Email28@practo.com,0999999928,Bangalore,0,MBBS,
Name:29,Email29@practo.com,0999999929,Bangalore,0,MD,
Name:30,Email30@practo.com,0999999930,Bangalore,0,MBBS,
Name:31,Email31@practo.com,0999999931,Bangalore,0,MD,
Name:32,Email32@practo.com,0999999932,Bangalore,0,MBBS,
Name:33,Email33@practo.com,0999999933,Bangalore,0,MD,
Name:34,Email34@practo.com,0999999934,Bangalore,0,MBBS,
Name:35,Email35@practo.com,0999999935,Bangalore,0,MD,
Name:36,Email36@practo.com,0999999936,Bangalore,0,MBBS,
Name:37,Email37@practo.com,0999999937,Bangalore,0,MD,
Name:38,Email38@practo.com,0999999938,Bangalore,0,MBBS,
Name:39,Email39@practo.com,0999999939,Bangalore,0,MD,
Name:40,Email40@practo.com,0999999940,Bangalore,0,MBBS,
Name:41,Email41@practo.com,0999999941,Bangalore,0,MD,
Name:42,Email42@practo.com,0999999942,Bangalore,0,MBBS,
Name:43,Email43@practo.com,0999999943,Bangalore,0,MD,
Name:44,Email44@practo.com,0999999944,Bangalore,0,MBBS,
Name:45,Email45@practo.com,0999999945,Bangalore,0,MD,
Name:46,Email46@practo.com,0999999946,Bangalore,0,MBBS,
Name:47,Email47@practo.com,0999999947,Bangalore,0,MD,
Name:48,Email48@practo.com,0999999948,Bangalore,0,MBBS,
Name:49,Email49@practo.com,0999999949,Bangalore,0,MD,
Name:50,Email50@practo.com,0999999950,Delhi,0,MBBS,
Name:51,Email51@practo.com,0999999951,Delhi,0,MD,
Name:52,Email52@practo.com,0999999952,Delhi,0,MBBS,
Name:53,Email53@practo.com,0999999953,Delhi,0,MD,
Name:54,Email54@practo.com,0999999954,Delhi,0,MBBS,
Name:55,Email55@practo.com,0999999955,Delhi,0,MD,
Name:56,Email56@practo.com,0999999956,Delhi,0,MBBS,
Name:57,Email57@practo.com,0999999957,Delhi,0,MD,
Name:58,Email58@practo.com,0999999958,Delhi,0,MBBS,
Name:59,Email59@practo.com,0999999959,Delhi,0,MD,
Name:60,Email60@practo.com,0999999960,Delhi,0,MBBS,
Name:61,Email61@practo.com,0999999961,Delhi,0,MD,
Name:62,Email62@practo.com,0999999962,Delhi,0,MBBS,
Name:63,Email63@practo.com,0999999963,Delhi,0,MD,
Name:64,Email64@practo.com,0999999964,Delhi,0,MBBS,
Name:65,Email65@practo.com,0999999965,Delhi,0,MD,
Name:66,Email66@practo.com,0999999966,Delhi,0,MBBS,
Name:67,Email67@practo.com,0999999967,Delhi,0,MD,
Name:68,Email68@practo.com,0999999968,Delhi,0,MBBS,
Name:69,Email69@practo.com,0999999969,Delhi,0,MD,
Name:70,Email70@practo.com,0999999970,Delhi,0,MBBS,
Name:71,Email71@practo.com,0999999971,Delhi,0,MD,
Name:72,Email72@practo.com,0999999972,Delhi,0,MBBS,
Name:73,Email73@practo.com,0999999973,Delhi,0,MD,
Name:74,Email74@practo.com,0999999974,Delhi,0,MBBS,
Name:75,Email75@practo.com,0999999975,Delhi,0,MD,
Name:76,Email76@practo.com,0999999976,Delhi,0,MBBS,
Name:77,Email77@practo.com,0999999977,Delhi,0,MD,
Name:78,Email78@practo.com,0999999978,Delhi,0,MBBS,
Name:79,Email79@practo.com,0999999979,Delhi,0,MD,
Name:80,Email80@practo.com,0999999980,Delhi,0,MBBS,
Name:81,Email81@practo.com,0999999981,Delhi,0,MD,
Name:82,Email82@practo.com,0999999982,Delhi,0,MBBS,
Name:83,Email83@practo.com,0999999983,Delhi,0,MD,
Name:84,Email84@practo.com,0999999984,Delhi,0,MBBS,
Name:85,Email85@practo.com,0999999985,Delhi,0,MD,
Name:86,Email86@practo.com,0999999986,Delhi,0,MBBS,
Name:87,Email87@practo.com,0999999987,Delhi,0,MD,
Name:88,Email88@practo.com,0999999988,Delhi,0,MBBS,
Name:89,Email89@practo.com,0999999989,Delhi,0,MD,
Name:90,Email90@practo.com,0999999990,Delhi,0,MBBS,
Name:91,Email91@practo.com,0999999991,Delhi,0,MD,
